Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
30C_CHX,30C,CHX,BioRep1,1,12,0
30C_CHX,30C,CHX,BioRep1,1,13,0
30C_CHX,30C,CHX,BioRep1,1,14,0
30C_CHX,30C,CHX,BioRep1,1,15,0
30C_CHX,30C,CHX,BioRep1,1,16,0
30C_CHX,30C,CHX,BioRep1,1,17,0
30C_CHX,30C,CHX,BioRep1,2,1,3
30C_CHX,30C,CHX,BioRep1,2,2,0
30C_CHX,30C,CHX,BioRep1,2,3,1
30C_CHX,30C,CHX,BioRep1,2,4,1
30C_CHX,30C,CHX,BioRep1,2,5,0
30C_CHX,30C,CHX,BioRep1,2,6,0
30C_CHX,30C,CHX,BioRep1,2,7,0
30C_CHX,30C,CHX,BioRep1,3,1,0
30C_CHX,30C,CHX,BioRep1,3,2,0
30C_CHX,30C,CHX,BioRep1,3,3,0
30C_CHX,30C,CHX,BioRep1,3,4,0
30C_CHX,30C,CHX,BioRep1,3,5,0
30C_CHX,30C,CHX,BioRep1,3,6,0
30C_CHX,30C,CHX,BioRep1,3,7,0
30C_CHX,30C,CHX,BioRep1,3,8,0
30C_CHX,30C,CHX,BioRep1,3,9,0
30C_CHX,30C,CHX,BioRep1,3,10,0
30C_CHX,30C,CHX,BioRep1,3,11,0
30C_CHX,30C,CHX,BioRep1,3,12,0
30C_CHX,30C,CHX,BioRep1,3,13,0
30C_CHX,30C,CHX,BioRep1,3,14,0
30C_CHX,30C,CHX,BioRep1,3,15,0
30C_CHX,30C,CHX,BioRep1,3,16,0
30C_CHX,30C,CHX,BioRep1,3,17,0
30C_CHX,30C,CHX,BioRep1,4,1,0
30C_CHX,30C,CHX,BioRep1,4,2,0
30C_CHX,30C,CHX,BioRep1,4,3,0
30C_CHX,30C,CHX,BioRep1,4,4,0
30C_CHX,30C,CHX,BioRep1,4,5,0
30C_CHX,30C,CHX,BioRep1,4,6,0
30C_CHX,30C,CHX,BioRep1,4,7,0
30C_CHX,30C,CHX,BioRep1,4,8,0
30C_CHX,30C,CHX,BioRep1,4,9,0
30C_CHX,30C,CHX,BioRep1,4,10,0
30C_CHX,30C,CHX,BioRep1,4,11,0
30C_CHX,30C,CHX,BioRep1,4,12,0
30C_CHX,30C,CHX,BioRep1,4,13,0
30C_CHX,30C,CHX,BioRep1,4,14,0
30C_CHX,30C,CHX,BioRep1,4,15,0
30C_CHX,30C,CHX,BioRep1,5,1,0
30C_CHX,30C,CHX,BioRep1,5,2,0
30C_CHX,30C,CHX,BioRep1,5,3,0
30C_CHX,30C,CHX,BioRep1,5,4,0
30C_CHX,30C,CHX,BioRep1,5,5,1
30C_CHX,30C,CHX,BioRep1,5,6,0
30C_CHX,30C,CHX,BioRep1,5,7,2
30C_CHX,30C,CHX,BioRep1,5,8,0
30C_CHX,30C,CHX,BioRep1,5,9,0
30C_CHX,30C,CHX,BioRep1,5,10,2
30C_CHX,30C,CHX,BioRep1,5,11,0
30C_CHX,30C,CHX,BioRep1,5,12,0
30C_CHX,30C,CHX,BioRep1,5,13,0
30C_CHX,30C,CHX,BioRep1,6,1,0
30C_CHX,30C,CHX,BioRep1,6,2,0
30C_CHX,30C,CHX,BioRep1,6,3,0
30C_CHX,30C,CHX,BioRep1,6,4,0
30C_CHX,30C,CHX,BioRep1,6,5,0
30C_CHX,30C,CHX,BioRep1,6,6,0
30C_CHX,30C,CHX,BioRep1,6,7,0
30C_CHX,30C,CHX,BioRep1,6,8,0
30C_CHX,30C,CHX,BioRep1,6,9,0
30C_CHX,30C,CHX,BioRep1,6,10,0
30C_CHX,30C,CHX,BioRep1,6,11,0
30C_CHX,30C,CHX,BioRep1,6,12,2
30C_CHX,30C,CHX,BioRep1,6,13,0
30C_CHX,30C,CHX,BioRep1,6,14,0
30C_CHX,30C,CHX,BioRep1,6,15,0
30C_CHX,30C,CHX,BioRep1,6,16,0
