# Run started 2024-04-14 12:58:33 
# Command: sedsim-driver.py --experiment-file ./sed-control-nuc.txt --summary-only --summary-out ./results/summary-nuc-full.txt
# Parameters:
#	experiment_file: ./sed-control-nuc.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-nuc-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL051C	2517	830610.000000	13.694289	0.910000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2517.000000	8.306090e+05	13.694289
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL055C	1710	564300.000000	12.007646	0.950000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1710.000000	5.642990e+05	12.007646
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL056W	1758	580140.000000	12.121199	0.927500	1.000000	0.000000	4.000000	100	1.000000	1.000000	1758.000000	5.801400e+05	12.121199
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL057C	725	239250.000000	8.969208	0.950000	1.000000	0.000000	2.000000	100	1.000000	1.000000	725.000000	2.392500e+05	8.969208
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL058W	1420	468600.000000	11.272421	0.956667	1.000000	0.000000	3.000000	100	1.000000	1.000000	1420.000000	4.686000e+05	11.272421
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL059C-A	525	173250.000000	8.036988	0.985000	1.000000	0.000000	2.000000	100	1.000000	1.000000	525.000000	1.732490e+05	8.036988
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL061C	2259	745470.000000	13.199902	0.890000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2259.000000	7.454700e+05	13.199902
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL064C	881	290730.000000	9.583651	0.970000	1.000000	0.000000	2.000000	100	1.000000	1.000000	881.000000	2.907290e+05	9.583651
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL067C	2538	837540.000000	13.733029	0.870000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2538.000000	8.375390e+05	13.733029
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL068W	1187	391710.000000	10.606020	0.970000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1187.000000	3.917100e+05	10.606020
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL069W	1518	500940.000000	11.531122	0.900000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1518.000000	5.009400e+05	11.531122
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL071W-A	722	238260.000000	8.956572	0.960000	1.000000	0.000000	3.000000	100	1.000000	1.000000	722.000000	2.382600e+05	8.956572
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL072C	746	246180.000000	9.056708	0.957416	1.000000	0.000000	89.000000	100	1.000000	1.000000	746.000000	2.461800e+05	9.056708
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL076C	3330	1098900.000000	15.061569	0.889412	1.000000	0.000000	17.000000	100	1.000000	1.000000	3330.000000	1.098899e+06	15.061569
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL079W	4680	1544400.000000	16.909189	0.840000	1.000000	0.000000	2.000000	100	1.000000	1.000000	4680.000000	1.544399e+06	16.909189
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL087C	557	183810.000000	8.200304	0.964583	1.000000	0.000000	72.000000	100	1.000000	1.000000	557.000000	1.838100e+05	8.200304
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL090W	674	222420.000000	8.749506	0.980000	1.000000	0.000000	1.000000	100	1.000000	1.000000	674.000000	2.224200e+05	8.749506
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL091C	1443	476190.000000	11.334170	0.916667	1.000000	0.000000	3.000000	100	1.000000	1.000000	1443.000000	4.761890e+05	11.334170
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL092W	532	175560.000000	8.073264	0.965930	1.000000	0.000000	172.000000	100	1.000000	1.000000	532.000000	1.755600e+05	8.073264
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL093C	903	297990.000000	9.664358	0.950000	1.000000	0.000000	1.000000	100	1.000000	1.000000	903.000000	2.979900e+05	9.664358
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL099W	2155	711150.000000	12.990063	0.918889	1.000000	0.000000	9.000000	100	1.000000	1.000000	2155.000000	7.111500e+05	12.990063
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBL102W	902	297660.000000	9.660718	0.945000	1.000000	0.000000	2.000000	100	1.000000	1.000000	902.000000	2.976600e+05	9.660718
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBR002C	1050	346500.000000	10.172871	0.960000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1050.000000	3.464990e+05	10.172871
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YBR003W	1585	523050.000000	11.701705	0.940000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1585.000000	5.230500e+05	11.701705
