# Run started 2024-04-14 15:46:55 
# Command: sedsim-driver.py --experiment-file ./sed-control-mol.txt --summary-only --summary-out ./results/summary-mol-full.txt
# Parameters:
#	experiment_file: ./sed-control-mol.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-mol-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL026W	487	160710.000000	7.834279	0.960000	0.800000	0.000000	6.000000	100	4.063333	1.856667	1839.753333	6.071180e+05	9.605405
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL027W	697	230010.000000	8.849899	0.919449	0.706378	0.000000	127.000000	100	6.646951	2.633150	3307.157244	1.091361e+06	11.441883
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL028C	577	190410.000000	8.299252	0.930000	0.748333	0.000000	6.000000	100	5.659333	2.480000	2897.606667	9.562100e+05	10.746286
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL029C-A	503	165990.000000	7.920859	0.940000	0.750000	0.000000	1.000000	100	2.140000	2.140000	2338.950000	7.718530e+05	10.236158
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL030C	1345	443850.000000	11.066359	0.881667	0.506667	0.000000	6.000000	100	6.868667	4.103333	6314.553333	2.083802e+06	15.325114
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL032W	1425	470250.000000	11.285901	0.816667	0.476667	0.000000	3.000000	100	8.273333	4.863333	7631.836667	2.518506e+06	15.898286
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL033C	1136	374880.000000	10.448834	0.860000	0.550000	0.000000	1.000000	100	3.330000	3.330000	5003.490000	1.651151e+06	13.935996
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL036C	933	307890.000000	9.772348	0.925000	0.640000	0.000000	2.000000	100	5.910000	3.985000	5659.230000	1.867545e+06	13.191443
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL038W	854	281820.000000	9.482762	0.910000	0.660000	0.000000	1.000000	100	3.190000	3.190000	4139.010000	1.365873e+06	12.588302
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL039C	1989	656370.000000	12.640813	0.812857	0.337143	0.000000	7.000000	100	7.758571	5.511429	9121.612857	3.010132e+06	17.862837
