# scer_aggregation_psup.txt 
# Generated:  Thu Sep 10 11:17:15 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
#   30C.repi:  sample grown at 30C, biological replicate i
#   xC.ymin: sample shocked for x min at y C
# 
orf	gene	n.detections_30C.rep1	n.peptides_30C.rep1	intensity.t_30C.rep1	intensity.s_30C.rep1	intensity.p_30C.rep1	psup_30C.rep1	psup.lo_30C.rep1	psup.hi_30C.rep1	n.detections_30C.rep2	n.peptides_30C.rep2	intensity.t_30C.rep2	intensity.s_30C.rep2	intensity.p_30C.rep2	psup_30C.rep2	psup.lo_30C.rep2	psup.hi_30C.rep2	n.detections_30C.rep3	n.peptides_30C.rep3	intensity.t_30C.rep3	intensity.s_30C.rep3	intensity.p_30C.rep3	psup_30C.rep3	psup.lo_30C.rep3	psup.hi_30C.rep3	n.detections_37C.8min	n.peptides_37C.8min	intensity.t_37C.8min	intensity.s_37C.8min	intensity.p_37C.8min	psup_37C.8min	psup.lo_37C.8min	psup.hi_37C.8min	n.detections_42C.8min	n.peptides_42C.8min	intensity.t_42C.8min	intensity.s_42C.8min	intensity.p_42C.8min	psup_42C.8min	psup.lo_42C.8min	psup.hi_42C.8min	n.detections_46C.2min	n.peptides_46C.2min	intensity.t_46C.2min	intensity.s_46C.2min	intensity.p_46C.2min	psup_46C.2min	psup.lo_46C.2min	psup.hi_46C.2min	n.detections_46C.4min	n.peptides_46C.4min	intensity.t_46C.4min	intensity.s_46C.4min	intensity.p_46C.4min	psup_46C.4min	psup.lo_46C.4min	psup.hi_46C.4min	n.detections_46C.8min	n.peptides_46C.8min	intensity.t_46C.8min	intensity.s_46C.8min	intensity.p_46C.8min	psup_46C.8min	psup.lo_46C.8min	psup.hi_46C.8min
YPL061W	ALD6	125	27	3301051520	5974898860	479132607	0.9063	0.8912	0.9193	72	25	9569430020	7944580870	1691689892	0.8986	0.8765	0.9177	87	23	1006859647.0	705350026.0	29777855.6	0.9242	0.8903	0.9501	115	27	5242035612	2630864262	247771596	0.9356	0.9106	0.9539	79	28	3142375164	1981980457	143225925.0	0.9209	0.8909	0.9436	93	27	11794491240	11004307950	774166861	0.9132	0.8874	0.9330	143	27	9354818118	8785714591	1025352514.8	0.9222	0.9109	0.9318	76	26	546828041	1938381700.0	144238384	0.9103	0.8959	0.9230
YPL063W	TIM50	11	8	67395070	8543264	107512440	0.0743	0.0502	0.1092	2	3	9689740	1023070	17299300	0.0395	0.0135	0.1104	2	2	14433160.0	250234.0	392251.0	0.0168	0.0038	0.0741	6	6	20807940	1574572	4015940	0.0754	0.0316	0.1825	10	6	38131810	3923251	19125409.0	0.0489	0.0245	0.0961	6	5	46363700	23161970	40992300	0.0619	0.0292	0.1313	12	7	78411347	20336450	104983180.0	0.1037	0.0714	0.1513	7	6	6730412	1225820.0	17153560	0.0689	0.0426	0.1107
YPL064C	CWC27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	35858000	501640	138280	0.0711	0.0086	0.7641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL065W	VPS28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2140680	1466070	210100.0	0.8250	0.4133	0.9722	1	1	5014200	3122600	904900	0.6127	0.1686	0.9428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL067C	YPL067C	1	1	1022100	1728900	415560	0.6889	0.3281	0.9155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL068C	YPL068C	1	1	3842900	2215500	1418000	0.4656	0.1524	0.8364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	674980	217520	44531	0.8113	0.1982	0.9923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	12767000	15113000	1837000.0	0.8761	0.5893	0.9727	NA	NA	NA	NA	NA	NA	NA	NA
YPL070W	MUK1	6	4	7363120	10368700	3285080	0.6607	0.4964	0.8002	1	1	339250	257770	220360	0.5292	0.1920	0.8573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	474560	152600	27788.0	0.7368	0.1736	0.9810	1	1	2480800	2189500	1151600	0.5297	0.1292	0.9094	2	2	5173100	3173100	1965660.0	0.5893	0.2979	0.8297	NA	NA	NA	NA	NA	NA	NA	NA
YPL074W	YTA6	1	1	306250	647260	16681	0.9420	0.7541	0.9891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	5067300	1294570	1785900.0	0.3024	0.1229	0.5991	NA	NA	NA	NA	NA	NA	NA	NA
YPL077C	YPL077C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	168310	73023	20748	0.7837	0.2326	0.9853	1	1	2639400	1032300	211580.0	0.7187	0.1760	0.9756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL078C	ATP4	10	6	58290840	10125720	81197690	0.0799	0.0505	0.1212	3	3	49993900	2804840	33895600	0.0435	0.0185	0.1025	2	2	3587170.0	497170.0	869660.0	0.1814	0.0319	0.6122	5	4	91133900	16867250	25427600	0.0842	0.0324	0.2096	1	1	372980	24455	125810.0	0.0114	0.0022	0.0603	3	1	179798000	6264950	37363200	0.0198	0.0067	0.0583	8	5	143650100	10126510	187070000.0	0.0207	0.0125	0.0338	2	3	768310	52212.0	2972100	0.0172	0.0070	0.0411
YPL079W	RPL21B	13	1	29075220	38639010	6676144	0.7843	0.6889	0.8584	2	1	307530000	133085000	15123600	0.9317	0.7957	0.9802	NA	NA	NA	NA	NA	NA	NA	NA	5	1	145394200	11732540	2601870	0.2836	0.1106	0.6233	0	1	NA	NA	NA	0.2479	0.0181	0.9983	7	1	578963500	357478770	28219039	0.9291	0.8273	0.9730	6	1	40431840	62114360	12919090.0	0.8174	0.6898	0.9026	4	1	4816210	10857730.0	2735340	0.7840	0.6471	0.8798
YPL082C	MOT1	11	9	39182210	54277680	10885390	0.7651	0.6606	0.8463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	9	75460900	44856400	19774760.0	0.7171	0.6178	0.8012	2	2	6791856	1909549.0	1327662	0.5306	0.2699	0.7642
YPL083C	SEN54	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1180800	2798600	1022000	0.7258	0.3726	0.9314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL084W	BRO1	8	9	29049470	105349320	399166860	0.6611	0.5272	0.7747	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9787	0.4567	1.0000	NA	NA	NA	NA	NA	NA	NA	NA	2	2	3470800	2060360	1875410.0	0.4710	0.1500	0.8308	1	1	3222900	1452500	862950	0.4381	0.0929	0.8859	4	3	28243300	169034490	450388700.0	0.2673	0.1503	0.4295	1	1	168500	7506.1	1221300	0.0109	0.0028	0.0391
YPL085W	SEC16	13	11	13396021	16597280	6782037	0.6111	0.4968	0.7166	1	1	43460	68436	18340	0.7864	0.4159	0.9559	NA	NA	NA	NA	NA	NA	NA	NA	2	2	23511300	10940000	2712700	0.7829	0.3457	0.9712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	11	94248540	68313550	47010330.0	0.5509	0.4309	0.6643	2	1	2161360	7466800.0	733860	0.8778	0.7317	0.9507
YPL086C	ELP3	10	9	43051500	71538060	10104800	0.7901	0.6790	0.8723	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1341500.0	900960.0	203070.0	0.7638	0.1778	0.9887	0	1	NA	NA	NA	0.8961	0.2312	1.0000	3	3	24578100	12575710	1994566.0	0.7092	0.3369	0.9288	3	1	13223900	11161700	1901307	0.8151	0.5397	0.9466	13	7	78562710	61633250	23865820.0	0.7153	0.6046	0.8037	1	1	3815200	6779800.0	3744600	0.6055	0.2812	0.8596
YPL090C	RPS6A	46	9	978392800	1762870670	418636670	0.7339	0.6812	0.7801	36	10	7358469910	4460713020	2200032627	0.6748	0.6022	0.7418	34	9	250857289.0	137392641.0	66159736.2	0.7169	0.5895	0.8253	55	10	2258118660	876323489	206318340	0.7981	0.7154	0.8638	54	9	2021668224	1210186248	240541083.2	0.7223	0.6317	0.7986	43	10	6449573286	4953221450	834910070	0.8041	0.7398	0.8556	39	9	2645079690	2671658810	725487131.0	0.7963	0.7504	0.8368	44	10	375684230	849529042.0	249400638	0.7436	0.6980	0.7858
YPL091W	GLR1	23	17	169296560	365015000	49440650	0.8114	0.7483	0.8614	2	2	57815000	112429000	6477600	0.9540	0.8578	0.9873	7	5	45512650.0	42024110.0	1413466.0	0.9538	0.8543	0.9878	9	7	190281900	120712550	15056261	0.8709	0.7152	0.9505	5	4	12221540	8312770	846151.0	0.8781	0.6710	0.9635	9	7	381797500	400909900	97234380	0.8023	0.6430	0.9041	22	13	601316080	570979600	112728376.0	0.8597	0.8097	0.8975	6	5	23506540	57796800.0	9107150	0.8240	0.7201	0.8938
YPL093W	NOG1	16	14	146889100	166298180	60434310	0.6250	0.5208	0.7216	5	4	30829010	111264900	59980900	0.6874	0.5286	0.8167	4	3	1309300.0	3555120.0	807254.0	0.8518	0.5980	0.9617	4	4	9130980	7431000	8731760	0.6737	0.3872	0.8802	3	2	16279000	7158970	3892320.0	0.4748	0.1778	0.8254	10	6	132263600	62107400	37697480	0.4022	0.2538	0.5781	19	16	275807352	137165700	193405790.0	0.2864	0.2196	0.3653	9	6	9680389	5107939.0	14211452	0.2679	0.1849	0.3758
YPL094C	SEC62	4	3	52028800	5080270	64949650	0.0715	0.0362	0.1403	1	1	893060	2868800	876220	0.7621	0.4032	0.9389	1	1	312920.0	91673.0	56373.0	0.4640	0.0654	0.9524	1	1	14593000	441330	4491300	0.0218	0.0022	0.1888	2	2	20914000	3633700	6398800.0	0.0764	0.0181	0.3001	NA	NA	NA	NA	NA	NA	NA	NA	2	3	39723000	1487080	46640000.0	0.0174	0.0068	0.0458	1	1	877770	136480.0	2881900	0.0545	0.0144	0.1858
YPL096W	PNG1	1	1	2253300	3734700	789820	0.7099	0.3340	0.9286	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.1335	0.0075	0.9567	NA	NA	NA	NA	NA	NA	NA	NA	1	1	15488000	7482600	1589700.0	0.7349	0.1848	0.9729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	23925	40791.0	27918	0.5651	0.2442	0.8377
YPL099C	INA17	0	1	NA	NA	NA	0.1886	0.0005	0.7977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2588300	875520	2738400.0	0.2055	0.0782	0.4419	NA	NA	NA	NA	NA	NA	NA	NA
YPL100W	ATG21	1	1	2037400	1924100	166710	0.8450	0.4919	0.9703	NA	NA	NA	NA	NA	NA	NA	NA	1	1	394570.0	41789.0	32810.0	0.2160	0.0205	0.8458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	3689300	1779830	2526590.0	0.3727	0.1591	0.6604	NA	NA	NA	NA	NA	NA	NA	NA
YPL101W	ELP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1999900	196340	831660.0	0.0887	0.0112	0.5223	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2218500	1454700	295220.0	0.8037	0.4556	0.9578	NA	NA	NA	NA	NA	NA	NA	NA
YPL103C	FMP30	1	1	2384000	268720	1498400	0.0978	0.0235	0.3408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL104W	MSD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1265200	250700	217740	0.4325	0.0671	0.9305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	11830200	8042200	7279400.0	0.4701	0.2237	0.7428	NA	NA	NA	NA	NA	NA	NA	NA
YPL105C	SYH1	4	6	8113230	20943700	3625710	0.7218	0.5716	0.8448	1	1	8215500	9069100	1958700	0.8215	0.4606	0.9631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	6979500	5278900	2497570	0.5442	0.2614	0.8183	4	4	14662040	6893450	9153440.0	0.3907	0.2211	0.5895	NA	NA	NA	NA	NA	NA	NA	NA
YPL106C	SSE1	146	36	3344476382	5908236500	353724878	0.9047	0.8915	0.9168	71	29	8917966780	9022238290	1367375036	0.9040	0.8828	0.9214	82	29	415236892.0	431676675.0	33577056.1	0.9109	0.8732	0.9392	105	28	2920088540	1499377870	151964807	0.9269	0.8991	0.9473	88	25	2167477830	1622439250	143574786.1	0.8740	0.8343	0.9043	95	28	9455498540	8316453960	606385164	0.8822	0.8517	0.9072	122	30	4990219691	4521144340	1045022710.5	0.8187	0.7916	0.8421	77	29	428830295	909335290.0	419968533	0.6568	0.6145	0.6966
YPL107W	YPL107W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	9109700	2380300	3108800.0	0.3502	0.1026	0.7382	NA	NA	NA	NA	NA	NA	NA	NA
YPL109C	YPL109C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5429800	10757000	1096300.0	0.8646	0.3700	0.9894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL110C	GDE1	2	3	7629200	14467900	2160900	0.7840	0.5411	0.9225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	271600	14454000	235050	0.9891	0.8879	0.9994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	6079800	4039800	4544800.0	0.4379	0.1982	0.7030	NA	NA	NA	NA	NA	NA	NA	NA
YPL111W	CAR1	9	7	50709980	102393740	9165212	0.9223	0.8709	0.9554	3	2	8161700	3934520	599738	0.9158	0.7889	0.9687	3	3	2637130.0	754146.0	366396.0	0.6671	0.2726	0.9235	2	3	21239100	26192600	8876500	0.9016	0.6319	0.9827	1	1	1090100	543590	189500.0	0.6301	0.1297	0.9567	2	2	6713100	6979900	1601280	0.4464	0.1880	0.7540	7	6	75555000	79546850	11103410.0	0.8035	0.6775	0.8871	3	3	1893890	2784920.0	752073	0.8381	0.6895	0.9225
YPL112C	PEX25	5	4	307021900	656570190	32963940	0.1428	0.0754	0.2571	NA	NA	NA	NA	NA	NA	NA	NA	2	2	34956620.0	32096650.0	453810.0	0.8627	0.3849	0.9891	2	2	384198380	214327538	5490836	0.2375	0.0453	0.7586	1	1	71230000	62203000	785270.0	0.9870	0.8114	0.9993	0	1	NA	NA	NA	0.8430	0.1750	0.9999	6	5	323722540	345628343	31465930.0	0.0747	0.0418	0.1300	1	2	78040000	228350000.0	7361400	0.9280	0.8138	0.9733
YPL113C	YPL113C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	14306000	4205900	124680	0.9579	0.5892	0.9965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL115C	BEM3	0	1	NA	NA	NA	0.8461	0.5200	0.9685	1	1	1682700	172790	516980	0.1722	0.0401	0.5553	NA	NA	NA	NA	NA	NA	NA	NA	1	1	37112000	44292000	2777400	0.9610	0.5894	0.9984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1600200	1402700	905850.0	0.5704	0.2401	0.8675	NA	NA	NA	NA	NA	NA	NA	NA
YPL116W	HOS3	1	1	2639200	1560400	3179800	0.2800	0.0759	0.6440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4252800	293520	865180.0	0.0849	0.0091	0.5483	3	3	34834200	13467600	13958900	0.2922	0.1160	0.5965	3	3	17255100	8543120	20819400.0	0.2394	0.1169	0.4343	1	1	28006	21517.0	83413	0.2303	0.0781	0.5281
YPL117C	IDI1	6	8	25630060	44710200	1864954	0.8760	0.7880	0.9321	5	4	61023600	64279400	2540836	0.9630	0.9179	0.9838	3	2	11886180.0	12292730.0	695050.0	0.9183	0.6239	0.9883	NA	NA	NA	NA	NA	NA	NA	NA	3	3	193049800	106554800	8029680.0	0.9822	0.8925	0.9970	6	5	111904300	146019100	6699116	0.9412	0.8513	0.9775	5	4	27224800	35351000	4684760.0	0.8987	0.8025	0.9498	3	3	3457271	7693380.0	4099888	0.8363	0.6840	0.9221
YPL119C	DBP1	1	1	664450	933440	552780	0.5203	0.1971	0.8381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	667280	245640	468990.0	0.2950	0.0867	0.6647	NA	NA	NA	NA	NA	NA	NA	NA
YPL122C	TFB2	3	2	5679610	5420900	906992	0.8573	0.6802	0.9432	NA	NA	NA	NA	NA	NA	NA	NA	1	1	378000.0	244010.0	138590.0	0.6229	0.1116	0.9654	2	2	2076110	655574	219434	0.6747	0.2384	0.9538	2	2	5832890	1878630	693930.0	0.4767	0.1556	0.8590	2	1	10385800	7125700	2268900	0.6104	0.2456	0.8886	NA	NA	NA	NA	NA	NA	NA	NA	1	1	33762	51453.0	93589	0.3661	0.1367	0.6968
YPL125W	KAP120	3	3	5336120	5726500	935050	0.7690	0.5180	0.9068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	8269380	2580070	1947470.0	0.4411	0.2013	0.7272	NA	NA	NA	NA	NA	NA	NA	NA
YPL126W	NAN1	13	11	88859680	53843040	57283720	0.3585	0.2612	0.4789	2	1	13979600	16673100	19503200	0.4764	0.2228	0.7477	2	2	5124310.0	2997230.0	1523290.0	0.5432	0.1692	0.9069	NA	NA	NA	NA	NA	NA	NA	NA	2	2	19287500	2926900	6867500.0	0.1620	0.0375	0.5429	NA	NA	NA	NA	NA	NA	NA	NA	9	11	111553400	27987390	105496900.0	0.1559	0.1014	0.2299	4	4	4395740	6415053.0	11947190	0.1206	0.0680	0.2116
YPL127C	HHO1	7	5	82963010	144836170	20925840	0.8288	0.7131	0.9039	3	2	41290400	31806700	5869490	0.8890	0.7444	0.9560	1	1	1430500.0	734300.0	75946.0	0.8503	0.2520	0.9937	4	2	35635200	17074400	2735800	0.9071	0.6672	0.9816	6	4	27776430	10624788	2345309.0	0.7537	0.4839	0.9147	3	2	27271400	17316860	6224940	0.5581	0.2446	0.8356	7	5	97815619	90080217	37281362.0	0.6865	0.5427	0.8070	7	6	7059041	14221323.0	7793588	0.5885	0.4517	0.7155
YPL128C	TBF1	2	3	3039990	7496700	3095300	0.6667	0.4055	0.8633	NA	NA	NA	NA	NA	NA	NA	NA	1	1	495100.0	86750.0	46718.0	0.3613	0.0435	0.9406	3	2	4184870	1155720	351505	0.7116	0.3244	0.9426	3	1	14231000	8317800	1627520.0	0.7859	0.4333	0.9485	1	1	5874500	5441900	1151800	0.6850	0.2200	0.9575	1	2	6423200	4069200	1970500.0	0.5762	0.2129	0.8915	1	1	66802	140570.0	151890	0.4702	0.1934	0.7631
YPL129W	TAF14	5	4	24542740	44228930	6232422	0.8085	0.6702	0.9000	3	2	6612060	3726030	490854	0.9196	0.7999	0.9699	3	2	1307430.0	759963.0	119775.0	0.5986	0.2093	0.9189	3	4	4765460	7250464	2302085	0.7534	0.4017	0.9436	0	2	NA	NA	NA	0.3176	0.0486	0.9931	4	2	93446300	68555700	11808580	0.7259	0.4359	0.9042	4	4	92848000	66372900	25191200.0	0.7213	0.5219	0.8637	3	2	823262	1422011.0	1205037	0.5255	0.3247	0.7249
YPL131W	RPL5	63	11	1895374575	3781143180	391898139	0.8519	0.8227	0.8765	40	10	4993491260	4257355340	1011359288	0.8384	0.7927	0.8752	21	7	620907100.0	360851350.0	17494278.8	0.9502	0.8834	0.9791	53	12	2050415610	869089749	252215030	0.8184	0.7348	0.8819	55	14	530130493	318843481	96441560.0	0.7767	0.6949	0.8405	52	13	4609014600	4134411890	467935888	0.8262	0.7686	0.8704	69	12	5885954030	6368604170	1078331213.0	0.8500	0.8215	0.8752	28	8	335415342	848175280.0	166659429	0.8156	0.7726	0.8525
YPL137C	GIP3	3	3	4891660	7788820	778536	0.9014	0.7670	0.9609	1	1	5948600	1170200	337080	0.7803	0.3445	0.9624	1	1	321980.0	895470.0	237980.0	0.8482	0.3090	0.9905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	38059100	21113700	10253680.0	0.6749	0.4717	0.8345	NA	NA	NA	NA	NA	NA	NA	NA
YPL138C	SPP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	230980.0	82928.0	20713.0	0.6654	0.1160	0.9819	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2425000	541850	1933500.0	0.1660	0.0229	0.6735	2	2	33810700	5048200	3348500	0.2189	0.0597	0.6048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YPL139C	UME1	1	2	743450	1450100	44948	0.9359	0.7244	0.9880	NA	NA	NA	NA	NA	NA	NA	NA	1	1	426090.0	291200.0	348790.0	0.5068	0.0746	0.9452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	15392000	1137100	5138700	0.0698	0.0106	0.4091	4	3	13355100	12005200	11665890.0	0.7121	0.5109	0.8562	1	1	7549	100240.0	5828	0.8876	0.6892	0.9656
YPL141C	FRK1	1	1	7316700	18740000	2565900	0.7809	0.4168	0.9504	NA	NA	NA	NA	NA	NA	NA	NA	1	1	82285.0	335860.0	63984.0	0.8856	0.4229	0.9923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	36349000	28465000	13448000.0	0.6404	0.2748	0.9046	NA	NA	NA	NA	NA	NA	NA	NA
YPL143W	RPL33A	10	1	177629280	287264060	43232142	0.8631	0.7834	0.9157	2	1	667595000	508755000	97810500	0.8710	0.6603	0.9623	15	1	76834840.0	40136140.0	9954979.0	0.7088	0.5227	0.8580	14	1	884018940	331665220	82430297	0.8498	0.6950	0.9358	7	1	190916600	112360670	15895697.0	0.8748	0.6911	0.9559	4	1	846231000	561031000	54887700	0.8880	0.6623	0.9686	5	1	366738000	454537000	86625100.0	0.8201	0.6872	0.9078	7	1	72912710	160929200.0	39597240	0.8277	0.7380	0.8922
YPL145C	KES1	12	11	203954160	243457400	108796010	0.5952	0.4807	0.7099	6	5	110176200	37675820	76643000	0.3048	0.1784	0.4828	5	4	32511640.0	14280360.0	1282974.0	0.8014	0.4780	0.9607	7	7	83317200	23781042	48079157	0.2666	0.1261	0.5169	6	6	27582230	10685429	2653200.0	0.7259	0.4944	0.8810	8	6	153655460	93738909	97614374	0.4759	0.2735	0.6916	11	11	310778900	135497600	154844400.0	0.4499	0.3286	0.5733	6	5	21965890	27004340.0	32808170	0.4287	0.2928	0.5840
YPL146C	NOP53	1	1	4970	887160	69691	0.8245	0.5726	0.9496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	419990	655730	517340	0.7607	0.2556	0.9757	4	3	4027910	1132386	787470.0	0.3362	0.1330	0.6519	3	2	55610800	43003700	15287900	0.4549	0.1914	0.7693	3	1	501434000	547061000	119577400.0	0.8249	0.6422	0.9275	2	1	66647000	141500000.0	26202000	0.8260	0.6157	0.9319
